"year";"electricity";"electricity ref";"heat";"heat ref";"water";"water ref"
"2023";"764.634,33";"617.227,00";"101.825,75";"103.112,00";"874,50";"1.123,00"
"2024";"617.226,92";"617.227,00";"103.112,11";"103.112,00";"1.123,50";"1.123,00"
"2025";"601.064,67";"617.227,00";"100.196,18";"103.112,00";"998,53";"1.123,00"
"2026";"121.755,93";"617.227,00";"10.860,16";"103.112,00";"65,98";"1.123,00"
