"year";"electricity";"electricity ref";"heat";"heat ref";"water";"water ref"
"2023";"874.568,63";"871.046,00";"276.985,71";"275.695,00";"2.186,11";"2.280,00"
"2024";"871.045,11";"871.046,00";"275.694,80";"275.695,00";"2.285,55";"2.280,00"
"2025";"914.565,73";"871.046,00";"279.159,30";"275.695,00";"2.009,64";"2.280,00"
"2026";"-3.616.418,50";"871.046,00";"36.816,80";"275.695,00";"0,00";"2.280,00"
