"year";"electricity";"electricity ref";"heat";"heat ref";"water";"water ref"
"2023";"581.258,55";"508.623,00";"35.143,75";"38.835,00";"1.271,66";"1.208,00"
"2024";"508.622,09";"508.623,00";"38.834,70";"38.835,00";"1.208,31";"1.208,00"
"2025";"537.092,07";"508.623,00";"45.584,01";"38.835,00";"1.412,27";"1.208,00"
"2026";"4.792.382,73";"508.623,00";"6.363,29";"38.835,00";"139,71";"1.208,00"
