"year";"electricity";"electricity ref";"heat";"heat ref";"water";"water ref"
"2023";"337.870,98";"310.454,00";"21.413,75";"22.896,00";"657,43";"754,00"
"2024";"310.454,05";"310.454,00";"22.896,00";"22.896,00";"753,41";"754,00"
"2025";"299.787,94";"310.454,00";"32.245,00";"22.896,00";"773,27";"754,00"
"2026";"8.811.706,19";"310.454,00";"3.183,00";"22.896,00";"90,32";"754,00"
